q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accZ,0
0.776,-0.6268,-0.047,0.0501,3.7580428,-77.91646,179.03935,181.7855,0.1811,0.3066,51
0.7764,-0.6269,-0.0436,0.0469,4.213299,-77.89005,179.15726,181.72061,0.1337,0.2919,51
0.7769,-0.6268,-0.0397,0.0434,5.141141,-77.838715,179.31111,181.67259,0.0649,0.247,51
0.7775,-0.6269,-0.032,0.0369,5.601489,-77.793655,179.6695,181.63284,-0.018,0.2558,51
0.7777,-0.627,-0.0283,0.0339,6.0292544,-77.78343,179.85748,181.6309,-0.0634,0.2324,51
0.778,-0.6269,-0.0249,0.0313,6.429555,-77.74887,180.04721,181.65314,-0.103,0.2358,51
0.7784,-0.6265,-0.022,0.0289,6.7702074,-77.68059,180.18527,181.64636,-0.1391,0.2255,51
0.779,-0.626,-0.0197,0.0269,7.0690336,-77.58968,180.2816,181.62714,-0.1577,0.2246,51
0.7798,-0.6251,-0.0181,0.0251,7.2871914,-77.44925,180.2966,181.55537,-0.1806,0.228,51
0.7808,-0.624,-0.0173,0.0238,7.428595,-77.27755,180.25226,181.46303,-0.185,0.2343,51
0.7818,-0.6228,-0.0173,0.0229,7.5087857,-77.09757,180.13805,181.33582,-0.164,0.2749,51
0.7827,-0.6217,-0.0177,0.0224,7.5256424,-76.93412,180.0135,181.22047,-0.1611,0.2934,51
0.7834,-0.6207,-0.0185,0.0223,7.5152836,-76.79422,179.87848,181.1172,-0.1264,0.3193,51
0.7838,-0.6201,-0.0193,0.0223,7.4852047,-76.711586,179.75787,181.02727,-0.0971,0.3437,51
0.784,-0.62,-0.0199,0.0224,7.4549994,-76.68823,179.68079,180.97319,-0.0659,0.3452,51
0.7839,-0.6201,-0.0202,0.0225,7.453773,-76.704315,179.64923,180.95258,-0.0463,0.3374,51
0.7838,-0.6202,-0.0201,0.0225,7.480201,-76.720474,179.66455,180.9636,-0.02,0.353,51
0.7836,-0.6204,-0.0197,0.0223,7.549637,-76.75256,179.70126,180.97957,-0.0249,0.3491,51
0.7836,-0.6205,-0.019,0.0219,7.6422243,-76.76125,179.75768,181.0018,-0.0219,0.3413,51
0.7836,-0.6205,-0.0181,0.0214,7.7371774,-76.76085,179.83133,181.03293,-0.0341,0.3432,51
0.7837,-0.6204,-0.0171,0.021,7.794298,-76.744446,179.93048,181.0907,-0.0454,0.3403,51
0.7838,-0.6204,-0.0159,0.0211,7.79903,-76.73746,180.11705,181.2443,-0.0649,0.3271,51
0.7836,-0.6206,-0.0146,0.0217,7.7302923,-76.769745,180.37788,181.48181,-0.0771,0.3139,51
0.7831,-0.6212,-0.0132,0.023,7.574045,-76.85878,180.73758,181.8327,-0.0781,0.2797,51
0.7821,-0.6224,-0.0117,0.0251,7.378359,-77.03578,181.2111,182.31255,-0.0971,0.249,51
0.7808,-0.6239,-0.0105,0.0274,7.177183,-77.2597,181.67003,182.78888,-0.1088,0.2314,51
